"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"280" 0.254 0.34 0.13 0.174 0.258 0.2 0.284 0.246 0.252 0.286
"281" 0.27 0.282 0.176 0.092 0.154 0.13 0.208 0.278 0.24 0.266
"282" 0.278 0.33 0.29 0.344 0.254 0.27 0.286 0.358 0.36 0.34
"283" 0.078 0.108 0.136 0.112 0.088 0.106 0.1 0.09 0.066 0.124
"284" 0.172 0.216 0.204 0.15 0.178 0.196 0.186 0.206 0.138 0.198
"285" 0.346 0.46 0.414 0.372 0.298 0.384 0.318 0.256 0.4 0.416
"286" 0.186 0.19 0.152 0.146 0.142 0.098 0.192 0.114 0.182 0.12
"287" 0.134 0.162 0.18 0.156 0.16 0.158 0.138 0.13 0.17 0.134
"288" 0.244 0.368 0.094 0.28 0.45 0.232 0.252 0.218 0.262 0.294
"289" 0.34 0.612 0.356 0.462 0.45 0.472 0.616 0.352 0.514 0.47
"290" 0.386 0.468 0.318 0.332 0.498 0.392 0.37 0.324 0.4 0.38
"291" 0.304 0.256 0.28 0.272 0.27 0.264 0.306 0.218 0.284 0.272
"292" 0.242 0.266 0.268 0.284 0.288 0.2 0.25 0.132 0.178 0.294
"293" 0.082 0.076 0.072 0.074 0.076 0.054 0.09 0.052 0.094 0.07
"294" 0.17 0.202 0.186 0.194 0.216 0.134 0.296 0.222 0.17 0.18
"295" 0.134 0.266 0.218 0.106 0.248 0.15 0.166 0.19 0.16 0.246
"296" 0.12 0.13 0.194 0.156 0.316 0.21 0.224 0.132 0.228 0.164
"297" 0.146 0.28 0.176 0.15 0.192 0.148 0.158 0.114 0.2 0.136
"298" 0.324 0.132 0.13 0.214 0.326 0.134 0.16 0.122 0.178 0.174
"299" 0.078 0.07 0.05 0.08 0.094 0.072 0.056 0.048 0.084 0.056
"300" 0.252 0.262 0.218 0.15 0.168 0.28 0.2 0.206 0.206 0.22
"301" 0.078 0.044 0.052 0.07 0.086 0.06 0.048 0.044 0.064 0.048
"302" 0.248 0.134 0.19 0.23 0.22 0.21 0.202 0.428 0.146 0.228
"303" 0.238 0.308 0.156 0.246 0.27 0.344 0.284 0.358 0.258 0.388
"304" 0.252 0.166 0.184 0.234 0.186 0.166 0.222 0.332 0.14 0.274
"305" 0.36 0.344 0.392 0.386 0.35 0.434 0.34 0.408 0.394 0.49
"306" 0.36 0.344 0.392 0.386 0.35 0.434 0.34 0.408 0.394 0.49
"307" 0.124 0.084 0.124 0.13 0.102 0.096 0.18 0.104 0.142 0.126
"308" 0.17 0.194 0.25 0.226 0.188 0.258 0.22 0.15 0.204 0.17
"309" 0.074 0.094 0.1 0.068 0.062 0.122 0.06 0.106 0.052 0.062
"310" 0.438 0.128 0.136 0.25 0.126 0.22 0.144 0.094 0.174 0.12
"311" 0.462 0.424 0.462 0.464 0.404 0.408 0.424 0.124 0.456 0.41
